iter	Passed	Remaining
399	514	772
400	516	770
401	517	769
402	518	768
403	519	766
404	520	765
405	522	763
406	523	762
407	524	760
408	525	759
409	526	758
410	528	756
411	529	755
412	530	754
413	531	752
414	533	751
415	534	749
416	535	748
417	536	747
418	537	745
419	538	744
420	540	742
421	541	741
422	542	739
423	543	738
424	545	737
425	546	736
426	548	735
427	549	734
428	550	732
429	551	731
430	552	729
431	553	728
432	555	726
433	556	725
434	557	724
435	558	723
436	560	721
437	561	720
438	562	719
439	563	717
440	564	716
441	566	714
442	567	713
443	568	711
444	569	710
445	570	709
446	572	707
447	573	706
448	574	705
449	575	703
450	577	702
451	578	700
452	579	699
453	580	698
454	581	696
455	582	695
456	584	694
457	585	692
458	586	691
459	587	690
460	589	688
461	590	687
462	591	686
463	592	684
464	594	683
465	595	682
466	596	680
467	597	679
468	598	677
469	599	676
470	601	675
471	602	673
472	603	672
473	604	671
474	606	669
475	607	668
476	608	667
477	609	665
478	610	664
479	612	663
480	613	661
481	614	660
482	615	658
483	616	657
484	618	656
485	619	654
486	620	653
487	621	652
488	623	651
489	624	649
490	625	648
491	626	646
492	627	645
493	628	644
494	630	642
495	631	641
496	632	640
497	633	638
498	634	637
499	636	636
500	637	634
501	638	633
502	639	632
503	641	630
504	642	629
505	643	628
506	644	626
507	645	625
508	647	624
509	648	622
510	649	621
511	650	620
512	652	619
513	653	617
514	654	616
515	655	614
516	656	613
517	658	612
518	659	610
519	660	609
520	661	608
521	662	606
522	664	605
523	665	604
524	666	602
525	667	601
526	669	600
527	670	599
528	671	597
529	672	596
530	673	595
531	674	593
532	676	592
533	677	591
534	678	590
535	680	588
536	681	587
537	682	586
538	684	585
539	685	583
540	686	582
541	687	581
542	688	579
543	690	578
544	691	577
545	692	575
546	693	574
547	695	573
548	696	571
549	697	570
550	698	569
551	699	568
552	701	566
553	702	565
554	703	564
555	704	562
556	706	561
557	707	560
558	708	558
559	709	557
560	710	556
561	712	554
562	713	553
563	714	552
564	715	551
565	717	549
566	718	548
567	719	547
568	720	545
569	722	544
570	723	543
571	724	542
572	725	540
573	726	539
574	727	538
575	729	536
576	730	535
577	731	534
578	732	532
579	734	531
580	735	530
581	736	528
582	737	527
583	738	526
584	740	525
585	741	523
586	742	522
587	743	521
588	745	519
589	746	518
590	747	517
591	748	516
592	750	514
593	751	513
594	752	512
595	753	510
596	754	509
597	756	508
598	757	506
599	758	505
600	759	504
601	760	503
602	762	501
603	763	500
604	764	499
605	765	497
606	766	496
607	768	495
608	769	493
609	770	492
610	771	491
611	772	489
612	774	488
613	775	487
614	776	486
615	777	484
616	779	483
617	780	482
618	781	481
619	782	479
620	783	478
621	785	477
622	786	475
623	787	474
624	788	473
625	790	471
626	791	470
627	792	469
628	793	468
629	794	466
630	796	465
631	797	464
632	798	462
633	799	461
634	800	460
635	802	459
636	803	457
637	804	456
638	805	455
639	807	454
640	808	452
641	810	451
642	811	450
643	812	449
644	813	447
645	814	446
646	816	445
647	817	443
648	818	442
649	819	441
650	820	440
651	822	438
652	823	437
653	824	436
654	825	435
655	827	433
656	828	432
657	829	431
658	830	429
659	831	428
660	833	427
661	834	425
662	835	424
663	836	423
664	838	422
665	839	420
666	840	419
667	841	418
668	843	417
669	844	415
670	845	414
671	846	413
672	847	411
673	849	410
674	850	409
675	851	408
676	852	406
677	854	405
678	855	404
679	856	403
680	857	401
681	858	400
682	859	399
683	861	397
684	862	396
685	863	395
686	864	393
687	865	392
688	867	391
689	868	390
690	869	388
691	870	387
692	871	386
693	873	385
694	874	383
695	875	382
696	876	381
697	877	379
698	879	378
699	880	377
700	881	376
701	882	374
702	884	373
703	885	372
704	886	370
705	887	369
706	888	368
707	890	367
708	891	365
709	892	364
710	893	363
711	895	362
712	896	360
713	897	359
714	899	358
715	900	357
716	901	355
717	902	354
718	903	353
719	905	351
720	906	350
721	907	349
722	908	348
723	909	346
724	911	345
725	912	344
726	913	343
727	915	341
728	916	340
729	917	339
730	918	338
731	919	336
732	921	335
733	922	334
734	923	333
735	924	331
736	926	330
737	927	329
738	928	327
739	929	326
740	931	325
741	932	324
742	933	322
743	934	321
744	936	320
745	937	319
746	938	317
747	939	316
748	941	315
749	942	314
750	943	312
751	945	311
752	946	310
753	947	309
754	948	307
755	949	306
756	951	305
757	952	304
758	953	302
759	954	301
760	955	300
761	957	298
762	958	297
763	959	296
764	961	295
765	962	293
766	963	292
767	964	291
768	966	290
769	967	288
770	968	287
771	970	286
772	971	285
773	972	283
774	973	282
775	975	281
776	976	280
777	977	278
778	978	277
779	979	276
780	981	275
781	982	273
782	983	272
783	984	271
784	985	270
785	987	268
786	988	267
787	989	266
788	990	264
789	992	263
790	993	262
791	994	261
792	995	259
793	996	258
794	998	257
795	999	256
796	1000	254
797	1002	253
798	1003	252
799	1004	251
800	1006	249
801	1007	248
802	1008	247
803	1010	246
804	1011	244
805	1012	243
806	1014	242
807	1015	241
808	1016	240
809	1018	238
810	1019	237
811	1021	236
812	1022	235
813	1024	233
814	1025	232
815	1026	231
816	1028	230
817	1029	229
818	1030	227
819	1031	226
820	1033	225
821	1034	224
822	1035	222
823	1036	221
824	1038	220
825	1039	218
826	1040	217
827	1041	216
828	1043	215
829	1044	214
830	1046	212
831	1047	211
832	1049	210
833	1050	209
834	1051	207
835	1052	206
836	1053	205
837	1055	203
838	1056	202
839	1057	201
840	1058	200
841	1059	198
842	1061	197
843	1062	196
844	1063	195
845	1064	193
846	1065	192
847	1066	191
848	1068	189
849	1069	188
850	1070	187
851	1071	186
852	1073	184
853	1074	183
854	1075	182
855	1076	181
856	1077	179
857	1079	178
858	1080	177
859	1081	176
860	1082	174
861	1083	173
862	1085	172
863	1086	171
864	1087	169
865	1088	168
866	1089	167
867	1091	165
868	1092	164
869	1093	163
870	1094	162
871	1095	160
872	1097	159
873	1098	158
874	1099	157
875	1100	155
876	1101	154
877	1103	153
878	1104	151
879	1105	150
880	1106	149
881	1107	148
882	1108	146
883	1110	145
884	1111	144
885	1112	143
886	1113	141
887	1115	140
888	1116	139
889	1117	138
890	1118	136
891	1120	135
892	1121	134
893	1122	133
894	1123	131
895	1124	130
896	1126	129
897	1127	128
898	1128	126
899	1129	125
900	1131	124
901	1132	123
902	1133	121
903	1134	120
904	1135	119
905	1137	117
906	1138	116
907	1139	115
908	1140	114
909	1141	112
910	1143	111
911	1144	110
912	1145	109
913	1146	107
914	1147	106
915	1149	105
916	1150	104
917	1151	102
918	1152	101
919	1153	100
920	1155	99
921	1156	97
922	1157	96
923	1158	95
924	1159	94
925	1161	92
926	1162	91
927	1163	90
928	1164	89
929	1165	87
930	1167	86
931	1168	85
932	1169	83
933	1170	82
934	1171	81
935	1173	80
936	1174	78
937	1175	77
938	1177	76
939	1178	75
940	1179	73
941	1180	72
942	1181	71
943	1183	70
944	1184	68
945	1185	67
946	1186	66
947	1188	65
948	1189	63
949	1190	62
950	1191	61
951	1192	60
952	1194	58
953	1195	57
954	1196	56
955	1197	55
956	1198	53
957	1199	52
958	1201	51
959	1202	50
960	1203	48
961	1205	47
962	1206	46
963	1207	45
964	1208	43
965	1209	42
966	1211	41
967	1212	40
968	1213	38
969	1214	37
970	1215	36
971	1217	35
972	1218	33
973	1219	32
974	1221	31
975	1222	30
976	1223	28
977	1224	27
978	1226	26
979	1227	25
980	1228	23
981	1229	22
982	1230	21
983	1231	20
984	1233	18
985	1234	17
986	1235	16
987	1236	15
988	1238	13
989	1239	12
990	1240	11
991	1241	10
992	1242	8
993	1243	7
994	1245	6
995	1246	5
996	1247	3
997	1248	2
998	1249	1
999	1251	0
